id_player,name,sex,country,birth_year
105453,Kei Nishikori,M,JPN,1989.0
106421,Daniil Medvedev,M,RUS,1995.0
104542,Jo-Wilfried Tsonga,,FRA,1985.0
104871,Jeremy Chardy,M,FRA,1986.0
200282,Alex De Minaur,M,AUS,1999.0
105683,Milos Raonic,M,CAN,1990.0
106034,Yasutaka Uchiyama,M,JPN,1992.0
105777,Grigor Dimitrov,M,BUL,1991.0
106121,Taro Daniel,M,JPN,1993.0
111442,Jordan Thompson,M,AUS,1994.0
104918,Andy Murray,M,GBR,1987.0
200175,Miomir Kecmanovic,M,SRB,1999.0
106401,Nick Kyrgios,M,AUS,1995.0
106378,Kyle Edmund,M,GBR,1995.0
105357,John Millman,M,AUS,1989.0
106045,Denis Kudla,M,USA,1992.0
106423,Thanasi Kokkinakis,M,AUS,1996.0
106109,Alex Bolt,M,AUS,1992.0
200615,Alexei Popyrin,M,AUS,1999.0
105902,James Duckworth,M,AUS,1991.0
104919,Leonardo Mayer,M,ARG,1987.0
105379,Aljaz Bedene,M,SLO,1989.0
105992,Ryan Harrison,M,USA,1992.0
105526,Jan Lennard Struff,M,GER,1990.0
200005,Ugo Humbert,M,FRA,1998.0
106415,Yoshihito Nishioka,M,JPN,1995.0
105815,Tennys Sandgren,M,USA,1991.0
126203,Taylor Fritz,,USA,1997.0
215018,Destanee Aiava,F,AUS,2000.0
201540,Kristina Mladenovic,F,FRA,1993.0
211279,Harriet Dart,F,GBR,1996.0
211880,Priscilla Hon,F,AUS,1998.0
201545,Anastasija Sevastova,F,LAT,1990.0
201611,Daria Gavrilova,F,AUS,1994.0
201520,Petra Kvitova,F,CZE,1990.0
203389,Danielle Rose Collins,F,USA,1993.0
204426,Anett Kontaveit,F,EST,1995.0
201521,Carla Suarez Navarro,F,ESP,1988.0
201615,Lesia Tsurenko,F,UKR,1989.0
202596,Mihaela Buzarnescu,F,ROU,1988.0
214040,Kimberly Birrell,F,AUS,1998.0
214082,Darya Kasatkina,F,RUS,1997.0
201662,Karolina Pliskova,F,CZE,1992.0
201709,Yulia Putintseva,F,KAZ,1994.0
213631,Marie Bouzkova,F,CZE,1998.0
201325,Samantha Stosur,F,AUS,1984.0
201548,Ajla Tomljanovic,F,AUS,1993.0
211701,Katerina Siniakova,F,CZE,1996.0
202427,Johanna Konta,F,GBR,1991.0
201585,Sloane Stephens,F,USA,1993.0
202428,Kiki Bertens,F,NED,1991.0
210722,Elise Mertens,F,BEL,1995.0
202499,Donna Vekic,F,CRO,1996.0
201517,Magdalena Rybarikova,F,SVK,1990.0
205925,Aliaksandra Sasnovich,F,BLR,1994.0
215713,Anastasia Potapova,F,RUS,2001.0
211768,Naomi Osaka,F,JPN,1997.0
202494,Elina Svitolina,F,UKR,1994.0
106216,Bjorn Fratangelo,M,USA,1993.0
117360,Marc Polmans,M,AUS,1997.0
124187,Reilly Opelka,M,USA,1997.0
105166,Peter Polansky,M,CAN,1988.0
106426,Cristian Garin,,CHI,1996.0
106331,Christopher O'Connell,,AUS,1994.0
105974,Maverick Banes,M,AUS,1993.0
105441,John Patrick Smith,M,AUS,1989.0
134329,Blake Ellis,M,AUS,2000.0
111153,Christopher Eubanks,M,USA,1996.0
105614,Bradley Klahn,M,USA,1991.0
216146,Marta Kostyuk,F,UKR,2002.0
201586,Heather Watson,F,GBR,1992.0
202424,Conny Perrin,F,SUI,1990.0
203530,Viktorija Golubic,F,SUI,1992.0
206362,Naiktha Bains,F,AUS,1997.0
211684,Magdalena Frech,F,POL,1997.0
211095,Bernarda Pera,F,USA,1994.0
203462,Kateryna Kozlova,F,UKR,1994.0
213530,Allie Kiick,F,USA,1995.0
214452,Caroline Dolehide,F,USA,1998.0
201556,Lucie Hradecka,F,CZE,1985.0
215337,Olga Danilovic,F,SRB,2000.0
201492,Andrea Petkovic,F,GER,1987.0
214863,Sofya Zhuk,F,RUS,2001.0
202484,Nicole Gibbs,F,USA,1994.0
211941,Zoe Hives,F,AUS,1998.0
201518,Yanina Wickmayer,F,BEL,1990.0
214096,Karolina Muchova,F,CZE,1996.0
211878,Lizette Cabrera,F,AUS,1997.0
215035,Dayana Yastremska,F,UKR,2000.0
201478,Varvara Lepchenko,F,USA,1986.0
201605,Mandy Minella,F,LUX,1985.0
201597,Kurumi Nara,F,JPN,1991.0
201447,Vania King,F,USA,1991.0
202600,Viktoriya Tomova,F,BUL,1995.0
206108,Jennifer Brady,F,USA,1995.0
201539,Christina Mchale,F,USA,1992.0
202434,Aleksandra Krunic,F,SRB,1993.0
105138,Roberto Bautista Agut,M,ESP,1988.0
104607,Tomas Berdych,M,CZE,1987.0
104925,Novak Djokovic,M,SRB,1987.0
106065,Marco Cecchinato,M,ITA,1992.0
105932,Nikoloz Basilashvili,M,GEO,1992.0
104527,Stan Wawrinka,,SUI,1985.0
105583,Dusan Lajovic,M,SRB,1990.0
105732,Pierre Hugues Herbert,M,FRA,1991.0
105916,Marton Fucsovics,M,HUN,1991.0
126094,Andrey Rublev,M,RUS,1997.0
111797,Nicolas Jarry,M,CHI,1995.0
104198,Guillermo Garcia Lopez,M,ESP,1983.0
105575,Ricardas Berankis,M,LTU,1990.0
105550,Guido Pella,M,ARG,1990.0
104269,Fernando Verdasco,M,ESP,1983.0
109739,Maximilian Marterer,M,GER,1995.0
106000,Damir Dzumhur,M,BIH,1992.0
105657,Marius Copil,M,ROU,1990.0
104312,Andreas Seppi,M,ITA,1983.0
105077,Albert Ramos,M,ESP,1987.0
